ARRANCELL – Software para Planejamento de Células de Produção,Descrição,Em construção.,Inventores,João Henrique Gomes da Costa CavalcantiMario Orestes Aguirre González,Cotitularidade,-,Status,Registro concedido,Nº do Pedido:BR 51 2018 000786-4,País,Brasil,https://agir.ufrn.br/vitrine/programas/1084
BAND_AID: An Automated Band Structure Analysis GUI,Descrição,"O software BAND_AID: An Automated Band Structure Analysis GUI é voltado para análise automatizada da estrutura de bandas de materiais semicondutores e cálculo das massas efetivas (de elétrons me* e buracos mh*) em sistemas modelos, recebendo como entrada, em sua versão inicial, os arquivos de estrutura eletrônica do programa gratuito Quantum ESPRESSO, podendo ser facilmente expandido para interface com outros programas de química quântica computacional. O BAND_AID é inteiramente escrito em Python e possui uma intuitiva e agradável interface gráfica para o usuário em Desktop.",Inventores,ANDERSON DOS REIS ALBUQUERQUEJOSÉ LUCAS RODRIGUES DA ROCHAJOÃO EDSON TAVARES SOUSA DANTAS,Cotitularidade,-,Status,Registro Concedido,Nº do Pedido:BR 51 2023 002863-0,País,Brasil,https://agir.ufrn.br/vitrine/programas/2343
Banco de dados relacional para a modelagem computacional do setor elétrico brasileiro em sistemas de gestão de ativos energéticos,Descrição,Modelo de utilidade para a modelagem computacional do setor elétrico através do projeto de um banco de dados relacional que represente as entidades e relacionamentos em um sistema gerenciador de banco de dados para o acúmulo de indicadores econômicos e energéticos utilizados em sistemas de gestão de ativos energéticos.,Inventores,MAX CHIANCA PIMENTEL FILHOPAULO RAMON OLIVEIRA DE LIMA,Cotitularidade,-,Status,Registro Concedido,Nº do Pedido:BR 51 2024 003573-7,País,Brasil,https://agir.ufrn.br/vitrine/programas/2570
Acervus,Descrição,"O Acervus é um sistema de gerenciamento dos acervos artísticos, históricos e museológicos de unidades da UFRN, voltado para o armazenamento de documentos e multimídia.",Inventores,Jadson José dos SantosLeonardo René dos Santos CamposThiago Marques PereiraGibeon Soares de Aquino JúniorFellipe Matheus Costa BarbosaAna Priscila Meireles de Melo Barbosa,Cotitularidade,-,Status,Registro concedido,Nº do Pedido:BR 51 2017 000682 2,País,Brasil,https://agir.ufrn.br/vitrine/programas/924
AcessaECT,Descrição,Em construção.,Inventores,Ewerton Vasconcelos LopesNeuman Fabricio De Oliveira FernandesIdalmis Milian Sardina MartinsOrivaldo Vieira De Santana JuniorMarcelo Borges NogueiraDiego Rodrigo Cabral SilvaMarconi Câmara RodriguesElton José Figueiredo De Carvalho,Cotitularidade,-,Status,Registro Concedido,Nº do Pedido:BR 51 2022 001181-6,País,Brasil,https://agir.ufrn.br/vitrine/programas/2092
Acolhe Saúde RN,Descrição,"Com o aumento do número de casos do coronavírus no Brasil, e consequentemente no Estado do Rio Grande do Norte (RN), a Secretaria de Estado da Saúde (SESAP) solicitou auxílio ao Laboratório de Inovação Tecnológica em Saúde (LAIS), da Universidade Federal do Rio Grande do Norte (UFRN), e ao Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Norte (IFRN), o desenvolvimento de soluções tecnológicas que auxiliem os profissionais de saúde a terem uma hospedagem, caso alguém da família fique doente.",Inventores,Ricardo Alexsandro de Medeiros ValentimCarlos Breno Pereira SilvaMisael Barreto de QueirozDaniele Montenegro da Silva BarrosJailton Carlos de Paiva,Cotitularidade,-,Status,Registro Concedido,Nº do Pedido:BR 51 2020 002062-3,País,Brasil,https://agir.ufrn.br/vitrine/programas/1670
Adaptive Kernel Width Update for Complex Correntropy,Descrição,Em contrução.,Inventores,Allan de Medeiros MartinsAluisio Igor Rêgo FontesJoão Paulo Ferreira GuimarãesLeandro Luttiane da Silva LinharesManoel Do Bonfim Lins de Aquino,Cotitularidade,"Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Norte - IFRN / Instituto Federal de Educação, Ciência e Tecnologia da Paraíba - IFPB",Status,Registro Concedido,Nº do Pedido:BR 51 2021 000671-2,País,Brasil,https://agir.ufrn.br/vitrine/programas/1837
Agente Escuta,Descrição,"O aplicativo “Agente Escuta” é um app mobile, a ser utilizado por aparelhos celulares e inclui um sistema web para acesso pelo administrador de todas as informações cadastradas pelos usuários. Foi desenvolvido e testado com os usuários potenciais (estudantes de graduação e pós-graduação, docentes e agentes comunitários de saúde). O aplicativo contém funcionalidades direcionadas para que os profissionais da atenção primária à saúde realizem o cadastro e acompanhamento auditivo e de linguagem de crianças que residem em sua área de cobertura. Possui recursos de texto, dados, marcos do desenvolvimento, dúvidas frequentes, referência da localização espacial, gamificação por meio do “escuta game” e um questionário informatizado para acompanhamento auditivo e de linguagem das crianças. O aplicativo funciona como uma ferramenta facilitadora para a saúde auditiva na atenção primária, constituída das seguintes funcionalidades: cadastro de crianças, fornecimento de informações dos indicadores de risco para deficiência auditiva, informações sobre a triagem auditiva neonatal e eventual resgate de evasão, educação em saúde e orientação de como prevenir a perda auditiva, acompanhamento para a identificação da perda auditiva na infância e encaminhamentos. O objetivo do aplicativo é contribuir para a identificação e intervenção precoce da perda auditiva na infância e a minimização das perdas auditivas por causas evitáveis.",Inventores,Eliene Silva AraújoAlice Andrade Lopes AmorimFrankleiton Levy de Sena AlvesFrederico Araújo da Silva LopesEmerson Moura de Alencar,Cotitularidade,-,Status,Registro Concedido,Nº do Pedido:BR 51 2021 002590-3,País,Brasil,https://agir.ufrn.br/vitrine/programas/1990
Agrass – Sistema de Avaliação da Gestão de Riscos Assistenciais em Serviços de Saúde,Descrição,"O Questionário Avaliação da Gestão de Riscos Assistenciais em Serviços de Saúde – AGRASS é um instrumento que tem por objetivo descrever o grau de implantação das práticas de gestão de riscos assistenciais, para auxiliar a tomada de decisão para a melhoria contínua da qualidade do cuidado e segurança do paciente.",Inventores,Ricardo Alexsandro de Medeiros ValentimJosé Arilton Pereira FilhoCefas Rodrigues FreireHugo Granjeiro Soares FontesDiêgo Ferreira de LimaMarise Reis de FreitasZenewton André da Silva GamaMike Job Santos Pereira da SilvaAnna Claudia Sales Gomes CaldasMilena Cristina Duarte de AlmeidaPedro Henrique Germano EvangelistaDaniele Montenegro da Silva BarrosPhilippi Sedir Grilo de MoraisJânio Gustavo BarbosaJoão Pedro Araújo de Medeiros,Cotitularidade,-,Status,Registro concedido,Nº do Pedido:BR 51 2019 000196-6,País,Brasil,https://agir.ufrn.br/vitrine/programas/1171
AGUIDA,Descrição,"A determinação da densidade mamária tem importância devido à sua íntima relação com o diagnóstico do câncer mamário, seja como um fator de risco, seja como um elemento que dificulta o seu diagnóstico por mascarar as lesões mamárias. O método mais usado atualmente consiste na quantificação visual e subjetiva pelo médico radiologista. Com o intuito de auxiliar o especialista foi desenvolvido o software AGUIDA no Matlab para realizar o cálculo da densidade mamária em imagens mamográficas, com base na densidade do músculo peitoral, eliminando a subjetividade do operador na escolha de um valor de corte. As imagens foram capturadas através de um mamógrafo digital e são armazenadas em formato DICOM. São utilizadas duas imagens por paciente, a primeira delas em vista médio-lateral obliqua (MLO) e a segunda na vista crânio-caudal (CC).",Inventores,Heliana Bezerra SoaresAdriano Luís de Carvalho AraújoDaniel Fasanaro de CarvalhoAntônio Manuel Gouveia de Oliveira,Cotitularidade,-,Status,Registro concedido,Nº do Pedido:BR 51 2018 001137-3,País,Brasil,https://agir.ufrn.br/vitrine/programas/1094
